cod_estab,nombre,tipo,comuna,cod_comuna,region,servicio_salud,zona,inscritos_60,bajo_control_65,deteccion,ef_registro,deficit,score,prioridad,lat,lon
124416,Posta de Salud Rural Paso El León,Posta de Salud Rural (PSR),Cochamó,10103,Los Lagos,Servicio de Salud Del Reloncaví,rural,13,0,,-1.18,1.18,6.9,Baja,-41.503958,-71.85773
113701,Centro Comunitario de Salud Familiar Yalta,Centro Comunitario de Salud Familiar (CECOSF),San Joaquín,13129,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur,urbano,1631,7,0.0613120784794604,-0.546,0.546,6.9,Baja,-33.47838,-70.63665
113722,Centro Comunitario de Salud Familiar Dr. Salvador Allende,Centro Comunitario de Salud Familiar (CECOSF),San Joaquín,13129,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur,urbano,1569,2,,-0.546,0.546,6.9,Baja,-33.51265,-70.63664
107725,Centro Comunitario de Salud Familiar Villa Hermosa,Centro Comunitario de Salud Familiar (CECOSF),Viña del Mar,05109,Valparaíso,Servicio de Salud Viña del Mar Quillota,,1126,0,,-0.564,0.564,6.8,Baja,-33.033518,-71.482171
116493,Posta de Salud Rural Los Canelos (Parral),Posta de Salud Rural (PSR),Parral,07404,Maule,Servicio de Salud Del Maule,mixto,24,0,,-1.238,1.238,6.8,Baja,-36.303463,-71.31812
105452,Posta de Salud Rural Cuncumén(Salamanca),Posta de Salud Rural (PSR),Salamanca,04204,Coquimbo,Servicio de Salud Coquimbo,rural,1395,0,,-0.413,0.413,6.7,Baja,-31.896399,-70.622964
106404,Posta de Salud Rural Los Maitenes,Posta de Salud Rural (PSR),Casablanca,05102,Valparaíso,Servicio de Salud Valparaíso San Antonio,mixto,58,1,,-0.96,0.96,6.7,Baja,-33.42165,-71.39167
128417,Posta de Salud Rural Antihuala,Posta de Salud Rural (PSR),Los Álamos,08206,Biobío,Servicio de Salud Arauco,mixto,609,0,,-0.611,0.611,6.7,Baja,-37.67028,-73.38982
122720,Centro Comunitario de Salud Familiar Pablo Neruda,Centro Comunitario de Salud Familiar (CECOSF),Valdivia,14101,Los Ríos,Servicio de Salud Los Rios,,472,1,,-0.638,0.638,6.7,Baja,-39.84521,-73.22763
122457,Posta de Salud Rural Santa Filomena (Paillaco),Posta de Salud Rural (PSR),Paillaco,14107,Los Ríos,Servicio de Salud Los Rios,mixto,158,0,,-0.765,0.765,6.7,Baja,-40.122777,-72.684915
122432,Posta de Salud Rural Traiguén ( La Unión),Posta de Salud Rural (PSR),La Unión,14201,Los Ríos,Servicio de Salud Los Rios,mixto,39,0,,-1.054,1.054,6.7,Baja,-40.27674,-72.88339
118304,Centro de Salud Familiar O'Higgins,Centro de Salud Familiar (CESFAM),Concepción,08101,Biobío,Servicio de Salud Concepción,,8819,76,0.123110815933131,-0.424,0.424,6.6,Baja,-36.82856,-73.05624
110720,Centro Comunitario de Salud Familiar Catamarca,Centro Comunitario de Salud Familiar (CECOSF),Quinta Normal,13126,Metropolitana de Santiago,Servicio de Salud Metropolitano Occidente,urbano,4,3,,-2.376,2.376,6.6,Baja,-33.41863,-70.70879
117454,Posta de Salud Rural El Calvario,Posta de Salud Rural (PSR),San Ignacio,16108,Ñuble,Servicio de Salud Ñuble,rural,4,0,,-1.853,1.853,6.6,Baja,-36.846459,-71.900979
117434,Posta de Salud Rural Los Remates,Posta de Salud Rural (PSR),Quirihue,16201,Ñuble,Servicio de Salud Ñuble,mixto,5,0,,-2.163,2.163,6.6,Baja,-36.21321,-72.49508
200471,Centro Comunitario de Salud Familiar Susana Guerra  Guajardo.,Centro Comunitario de Salud Familiar (CECOSF),Calera,05502,Valparaíso,Servicio de Salud Viña del Mar Quillota,urbano,1740,5,0.0410509031198686,-0.509,0.509,6.5,Baja,-32.78255,-71.19495
116557,Posta de Salud Rural La Obra (Curicó),Posta de Salud Rural (PSR),Curicó,07301,Maule,Servicio de Salud Del Maule,,106,0,,-0.81,0.81,6.5,Baja,-35.0538,-71.22298
