serie,bloque,codigo,descripcion,tipo,nivel_atencion,establecimientos,periodos_esperados,periodos_observados,intensidad_media,volumen,subregistro_pct
A,rehabilitacion,28021500,Estimulacion cognitiva (2),Hospital,Terciario,77,924,872,514.1,448323,5.6
A,rehabilitacion,28021500,Estimulacion cognitiva (2),Hospital,"",43,516,357,98.6,35203,30.8
A,rehabilitacion,28021500,Estimulacion cognitiva (2),Hospital,Primario,11,132,95,25.6,2436,28
A,rehabilitacion,28021500,Estimulacion cognitiva (2),Centro de Salud Familiar (CESFAM),Primario,4,48,4,26.5,106,91.7
A,rehabilitacion,28021500,Estimulacion cognitiva (2),Centro de Referencia de Salud (CRS),Secundario,3,36,33,80.9,2669,8.3
A,rehabilitacion,28021500,Estimulacion cognitiva (2),Posta de Salud Rural (PSR),Primario,1,12,1,2,2,91.7
A,rehabilitacion,28022300,Estimulacion cognitiva,Centro de Salud Familiar (CESFAM),Primario,451,5412,4141,85.4,50369,23.5
A,rehabilitacion,28022300,Estimulacion cognitiva,Posta de Salud Rural (PSR),Primario,390,4680,2026,6.5,749,56.7
A,rehabilitacion,28022300,Estimulacion cognitiva,Hospital,"",54,648,478,2.3,14,26.2
A,rehabilitacion,28022300,Estimulacion cognitiva,Centro Comunitario de Salud Familiar (CECOSF),Primario,42,504,204,3.1,31,59.5
A,rehabilitacion,28022300,Estimulacion cognitiva,Hospital,Primario,16,192,165,45.5,955,14.1
A,rehabilitacion,28022300,Estimulacion cognitiva,Consultorio General Rural (CGR),Primario,9,108,91,,0,15.7
A,rehabilitacion,28022300,Estimulacion cognitiva,Otro,No Aplica,3,36,23,,0,36.1
A,rehabilitacion,28022300,Estimulacion cognitiva,Centro de Rehabilitación,Secundario,3,36,27,4.7,14,25
A,rehabilitacion,28022300,Estimulacion cognitiva,Hospital,Terciario,2,24,16,,0,33.3
A,rehabilitacion,28022300,Estimulacion cognitiva,Centro de Referencia de Salud (CRS),Secundario,2,24,24,126.3,2147,0
A,rehabilitacion,28022300,Estimulacion cognitiva,Centro de Salud,Primario,1,12,11,,0,8.3
A,rehabilitacion,28022300,Estimulacion cognitiva,Centro de Especialidades de Atención Primaria (CEAP),Primario,1,12,4,,0,66.7
A,rehabilitacion,28201001,Eje diagnostico Alzheimer y otras demencias,Centro de Salud Familiar (CESFAM),Primario,249,2988,844,2.4,1985,71.8
A,rehabilitacion,28201001,Eje diagnostico Alzheimer y otras demencias,Posta de Salud Rural (PSR),Primario,121,1452,204,1.4,288,86
